stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0.28,0,1.13,2.54,0,0,0,0.28,0,0,0,0.28,0,0,0.56,0,0.56,0,0.28,0,0,5.92,1.69,0,0.28,0,1.41,0,0,0,0.56,0,0,0,0
21Day,0,0.74,0,3.7,6.66,0,1.48,0,0,0,2.96,0.37,0.74,0.37,0,0.74,0.37,1.48,0,0,0,0,3.33,1.11,0,0,0,2.22,0.74,0,0,0.37,0,0,0,0
3Month,0,1.77,0.42,2.6,0,0.1,0.1,0.42,5.72,0,123.47,5.51,0.62,1.25,0.73,1.35,4.58,2.5,0.52,0.21,0.73,0.1,0.1,0,0,0.1,0,0,0.94,0.1,0.21,0.21,0.1,0.73,0.94,1.87
22Month,0.27,1.09,0.41,1.37,0,0.82,0,0.27,4.37,0.55,214.4,3.96,0.55,2.05,0.14,0.68,2.6,2.05,0.14,2.87,0.41,0,0.14,0,0.27,0.41,0.41,0,0.41,0,0.14,0,0,0.14,0,2.05
