stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0.56,3.66,0.56,0.28,0,0.28,0,0,0
21Day,0.37,0.74,0,0.37,0,0.37,0.37,0.37,0.37,5.92,0.74,0,0,0,0,0,0
3Month,0.1,0.1,0,0,0,0.21,0.1,0,0,0.1,0.1,0,0,0,0.21,0,0.1
22Month,0.27,0.27,0.14,0.14,0.82,0.14,0,0,0.14,0,0,0,0.14,0,0.14,0.14,0
