stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
72hpf,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,1.11,0,0,0,0,0,0.37,0,0,0,0,0,0.37,0,0,0,0,0
3Month,0.1,0.1,11.65,0.73,0.52,0.31,1.14,0.31,0.21,0,0.42,0.21,0.42,0.21,0,0.1,0,0.1,0.52,0.42,0.31
22Month,0,0,2.46,0.27,0.27,0,0.27,0,0.55,0,0,0,0,0,0.14,0,0,0,0,0,0
