stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,0,0.85,0,0,0,0,0,0,0,0,0,0,0.28,1.41,2.82,0.28,0,0,0.28,1.13,1.41,0,0,0.85,0,0,0,0,0.28,0,0,0
21Day,0.37,0,0.37,1.48,0.74,0,0.37,0,0.74,0,0,0,4.44,0.74,0,0,4.44,0.37,0,0.74,0,0.37,0.37,0,0,0,0.37,0,0,0.74,0,0,0,2.96
3Month,0,0.1,0.62,4.37,0,0.21,0,1.56,3.74,0,2.39,6.66,0.1,16.33,0.31,1.04,5.82,1.04,0,0,0.21,0.1,0,0.21,0,0,0.31,2.91,0,0,0,0.1,1.25,6.76
22Month,0,0.27,0.27,0.82,0,0,0.27,0.41,4.65,0.27,3.42,2.19,0.41,14.07,0.27,0.27,5.47,0.68,0.27,0,0,0.14,0,0,0.14,0,0.14,0.27,0.41,0,0,0.14,0,1.78
