stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4,3,0,13,2,0,0,0,0,0,0,0,0,0,0,2,1,1,20,0,0,0,46,22,0,0,0,4,0,0,0,0,4,0,0,0
72hpf,5.36,0.56,0,16.35,1.41,1.41,0,0,0,0,0,0,0,0,0,1.69,5.36,0,6.76,0,0.85,0.28,19.73,5.36,0,0.28,0,6.76,0.28,0.28,36.36,0,7.05,0,0,0
21Day,1.48,0,1.11,4.81,0.74,1.85,0,0,0,0,0,0.37,0,0.37,0,0.37,1.11,0.74,15.54,0,2.22,0,8.88,4.81,0,0,0,5.18,0.74,0.37,20.35,0.37,2.59,0,0,0
3Month,0,0.1,0.31,3.43,0.21,0,0,0.1,0.31,0.83,0,1.77,0.42,0,0.52,1.04,2.29,0.42,14.15,8.84,0.42,0.21,1.14,0.73,0.1,0,0,0.21,0.21,5.93,1.46,0,0.52,0.62,0.42,0.1
22Month,0.14,0.27,0.14,0.96,0.14,0,0.14,0,0.14,0.55,0.14,4.24,0,0.14,0.41,0.41,0.14,0.68,8.88,0.96,0.27,0,0.68,0.27,0,0,1.37,0,0,8.06,1.78,0.14,0.41,0,0,0.14
