stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia
72hpf,0,0,0,0.28,0,0,0,0,0,0.28,0,0.28,0,1.41,0.28,0.85,0,0,0,0
21Day,0,0,0,0,0.37,0,0,0,0,0,0,1.48,0,1.85,1.11,1.11,0.37,0,0,1.48
3Month,0,0.31,0.1,0,0.21,0,0.31,0,0.21,0,0.21,0.1,0.1,1.98,0,0,0,0,0.1,0
22Month,0.14,0,0,0,0,0.27,0.96,0.14,0,0,0,0.14,0,0.14,0,0,0,0.14,0,0
