stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
72hpf,0.56,0.28,0.28,0,0,0,0,0,0,0,0.28,0,0,0.85,0,0.28,0,27.34,2.82,0,0,0.28,0,0,0.56,0,0
21Day,0,0,1.11,0,0,0,0,0,0,0,0.37,0,0,0.37,0,0,0,9.62,0.37,0,0,0,0.37,0,0,0,0
3Month,0.21,0,1.66,0.52,0.42,0,2.7,0.62,0,0.73,0.21,0.52,0.42,0.73,0.21,0.42,0.1,0.94,0,0.21,0,0,0.1,2.08,0.1,4.89,0.31
22Month,0.14,0.14,0.68,0.41,0.68,0.41,6.01,0.41,0.14,1.5,0.14,0,0.82,0.96,0.14,0,0,0.68,0,0.14,0.14,0,0,0.55,0.14,0,0.68
