stage,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Radial_glia,Retinal_cone_cell,Spermatocyte
72hpf,0,0,0,0,0,0,0,0,0.28,0,0,0,0
21Day,3.33,0,0,0,0,0.74,0.37,0,1.11,0,0.37,0.37,0
3Month,0.52,0,0.31,0,0.21,0.1,0,0,0,0,0,0,0.1
22Month,0,0.14,0.27,0.14,0.41,0.14,0,0.14,0,0.14,0,0,0
