stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0
72hpf,0,0,0.28,0,0,0,0,0,0,0,0,1.41,0,0,2.54,2.25,0.56,0,0.28,0,0
21Day,0.37,0,0.37,0,0,0,0,0,0,0.74,1.11,0.37,0,0,0.37,0.74,0,0,0,0,0
3Month,0,0.1,0.42,0,0.31,1.87,0.21,0.1,0.1,0.1,4.26,0.52,0,0.1,0.1,0,0,0.52,0,0.21,0.42
22Month,0,1.09,0.41,0,0.27,2.87,0.14,0,0.27,0,5.88,0.41,0.27,0,0.14,0,0,0,0,0,0
