stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0
72hpf,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0.28,0.28,0,0,0,0,0.85,0.28,0,0,0,0,0
21Day,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74,0,0,0,0,0
3Month,0,0,0,0.73,0,0,0.1,0.42,0,2.29,0.62,0.52,0.1,0.42,0.1,0,0,0,0.21,0,0,0.1,0.21,0.1,0.1,0.52
22Month,0,0.14,0.41,1.64,0,0.27,0,1.23,1.09,12.03,0.55,2.46,0.41,0.96,0.55,0.14,0.41,0.14,0,0,0,0.14,0.14,0,0,0.14
