stage,Endothelial_cell,Epithelial_cell,Ionocyte,Keratinocyte,Neural_cell,Neural_progenitor_cell
72hpf,0,0,0.85,3.1,0.28,0.56
21Day,0.37,4.81,1.48,2.22,0.37,0
