stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Ionocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,3.66,8.74,0.28,0,0.85,0,0,0
21Day,0,0.74,0,0.37,0.37,0,0,0,0,0.74,0,0,3.33,1.48,0,0.37,0.37,0,0,0
3Month,0.21,2.29,0,0,0,0,0.52,0.31,1.04,0.42,0.21,0.42,0.21,0,0,0,0,0.1,0.21,0.1
22Month,0,0.41,0.14,0,0,0.14,0.14,0,0,0.41,0,0,0.14,0,0,0,0,0,0,0
