stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,T_cell
3Month,0,0,0.42,0.1,0,0.31,0.21,0,0.73,0.1,0,0.52,0.1,5.62,0.21,0,0,0.1,0.1,0.21,0.21,0,0,0,0,0.1,0.94
22Month,0.14,0.27,0.96,0.14,0.55,0,10.8,0.14,3.01,6.01,0.41,2.32,0,21.73,0.68,0.14,0.14,0.55,0,0.14,0.27,0.41,0.14,0.55,0.55,0,2.46
