stage,Epithelial_cell__Brain_,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Neural_cell,Neural_progenitor_cell
72hpf,0.28,0,0,0,0.85,0.28
21Day,0,0,0.37,0,1.11,0
22Month,0,1.09,0,0.14,0,0
