stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,56,0,0,3,1,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,456.59,11.27,0,43.69,9.58,60.6,3.1,0,1.41,1.41,0,3.38,0.28,19.17,106.26,10.71,126.83,5.07,4.23,1.41,571.59,279.59,1.97,4.23,113.87,2.25,0,49.04,3.66,1.69,6.76,0,0,0
21Day,423.63,14.06,12.95,236.05,10.73,162.05,23.31,3.33,8.88,56.24,3.7,73.63,31.08,17.39,126.17,45.88,298.21,2.22,33.67,1.85,287.11,150.58,5.18,9.62,110.26,71.04,1.85,22.57,13.32,38.85,8.14,1.48,0,32.56
3Month,0.73,0,0.1,0.62,0,0,0,12.9,0.1,0.83,0.1,0,0.73,0,0.21,0.1,0.52,0,0.1,0,0.21,0,0,0,0.1,0.31,1.14,0,0,0,0,0,0.62,0.31
22Month,0.14,0,1.91,0.27,0,0,0,2.6,0.27,1.09,0,0.14,0.55,0,0.14,0.27,0.27,0.14,0,0,0,0,0,0,0,0,0.68,0,0,0,0,0,0,0
