stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0.28,0,0.28,1.13,1.69,0,0,0,0,0,0
21Day,0.37,0,0,0.37,0,0,0,0,0,0.74,0.37,0,0,0,0,0.37,0,0,0.74,0,0,0,0.37,0,0,1.85
3Month,0.1,0.83,0,2.6,0.1,0.21,0.42,0.1,14.67,7.49,0.31,0.73,0.1,0,0.21,0.42,0.21,0.1,0,0.1,0,0.1,0,0.31,0.1,2.08
22Month,0,0.55,0.14,5.88,0,0.55,0.41,0,23.91,1.64,0,0.68,0,0.14,0.41,0.68,0,0.27,0.14,0,0.41,0.14,0,0,0,1.91
