stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,19,4,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,2.82,0.28,0.56,0,0,0,0,0,0,0,0,0.85,1.41,1.13,2.25,0,0,0,3.38,2.54,0,0,0,0.56,0,0.28,0,0,0,0.56,0,0,0
21Day,1.11,0,0,7.77,0,10.73,0,8.88,0,0.37,0.37,0.37,0.74,0.37,1.11,2.22,0,5.18,0,0,0,3.33,2.96,0,0.37,0,2.22,0.37,0.37,0.37,0.37,0.37,0.37,0,0,0.37
3Month,0.21,1.25,0.21,12.38,0,0,0.31,0.31,1.14,2.18,9.05,3.54,0.31,3.85,0.94,4.58,2.29,6.24,0.62,0.73,0.42,0.31,0,0.83,0.21,0,0.21,1.56,4.99,0.1,0,0,0.1,1.35,3.43,2.39
22Month,0,0.55,0.14,0.82,0,0,0.14,0.14,0.27,0.14,4.92,0.27,0,0.55,0,0.27,0,1.78,0,0.14,0,0,0,0,0.27,0.14,0,0.14,3.69,0.14,0.14,0,0,0,0,0
