stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0,0,0.56,0.28,0,0.28,0,0,0,0,0
21Day,0,0,0.74,0,0,0,0,0,0,0,0,0,0,2.96,0,0.74,0,0,0,0,0,0,0,0,0.37,0,0,0
3Month,0.21,0.42,28.6,0.1,0.1,40.77,0.52,0.1,4.68,1.56,0.31,66.05,0.83,1.98,9.26,1.35,0.31,1.35,0.1,0.21,0.1,0.62,0.1,0.52,4.47,0.21,0.52,3.22
22Month,0,1.23,3.55,0,0.14,6.01,0.41,0.27,3.28,0,0.27,27.47,0,0.82,1.23,0.96,0,0.14,0,0,0,0.14,0,0,10.66,0,0,0.41
