stage,Epithelial_cell,Erythroid_progenitor_cell,Immune_progenitor_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,T_cell
24hpf,0,0,0,0,0,0,0,0,3,0,0,0,0
72hpf,0,0,0,0,0,0.56,0,2.82,0,0,0,0.28,0
21Day,0.37,0.74,0.37,0,0,1.85,0,0.37,0,0.37,0.37,0,0.74
3Month,0.1,0,0.1,0.1,0.1,0,0.1,0,0,0,0,0.1,0.1
