stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
72hpf,0,0,0.28,0,0,0,0,0,0,0,1.69,0,0,0,0,0,0,1.97,0.28,0,0,0.28,0,0,0,0,0
21Day,0,0,1.11,0,0,0,0,0,0.37,0,0.74,0,0,0,0,0,0,0,0.74,0,0,0,0,0,0,0,0
3Month,0.21,0.1,3.95,0.52,0.62,0,4.68,1.98,0.21,2.18,0.94,1.14,0.52,0.1,0,0.31,0.1,0.1,0,0,0.1,0,0.21,0.62,0.42,0.1,1.87
22Month,0.27,0.14,1.37,0.14,1.78,0.27,4.37,0.55,0.14,1.23,0,1.37,0.68,0,0.14,0,0,0,0,0.14,0.14,0,0,0,0,0,1.23
