stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,4,0,7,0,0,0,0,0,0,0,0,0,0,1,5,0,0,1,41,0,0,0,0,0,0,0
72hpf,2.25,0,1.69,0,0.28,0,0,0,0,0,0,0.28,64.83,0.28,1.69,0,0,6.2,1.69,0,1.97,0,0,2.25,0.56,0
21Day,0.74,0,6.29,0.37,0,0,0,0.74,0,0.74,0,0.37,11.47,0.37,1.85,0,0,7.4,1.11,0,1.85,1.48,0,2.96,0.37,0
3Month,0,0.1,0.52,0.1,0,0,0.1,0,0.1,0,0.1,0,1.25,0,0.31,0,0.1,0,0,0.1,0,0,0.62,0,0.1,0.21
22Month,0,0.14,0.27,0,0,0.14,0.55,1.37,0,0,0.27,0,1.09,0,0.41,0.14,0,0,0,0.68,0,0,0.68,1.09,0.14,0
