stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,14,0,0,1,0,0,0,0,0,1,0,0,0
72hpf,6.2,0.56,3.38,0.28,4.51,0.28,0.56,0,0,0,0.56,0,3.38,14.37,0.85,8.17,0.28,0.28,919.39,70.18,0.28,0.56,14.66,0,0.56,7.61,32.41,31.85,1.97,0,0,0
21Day,5.18,0,9.62,0.74,6.66,0.74,0.37,0,1.48,0,1.85,0.74,0.74,5.18,1.48,7.4,1.85,0,150.58,22.57,0.37,0.37,2.59,3.33,0.37,1.11,43.66,230.87,0.37,0,0,1.48
3Month,0,0.1,0.73,0,0,0,0.21,0,0.62,0.1,0,0.42,0,0.1,0.21,0.21,0,0.1,1.46,0.42,0,0.1,0,0,12.69,0.1,0.1,0.21,0,0.21,4.37,0.31
22Month,0,0,0.41,0,0,0,0.14,0.14,1.5,0,0,0.14,0,0,0.14,0.41,0,0,0.41,0,0,0,0,0,2.19,0,0.68,0.27,0,0,0,0.27
