stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,1,0,0,0,1,4,0,0,0,0,0,0
72hpf,0,0,0,1.97,0,0.56,0,0,0,0,0,0,0,0.56,3.95,0,0,0,0,0,8.17,1.97,0,0.85,0,0.28,0,0
21Day,0.74,0,0.37,2.96,0.37,0,0,0,0,0,0,0,0,1.48,3.33,0.37,0.37,0,0,0,3.33,0.37,0,0,0.37,0,0,0
3Month,0.1,0.1,0.21,9.26,0.1,0,0.21,1.04,0,1.25,0.1,0.1,1.98,3.43,0.94,0.52,0.31,0,3.12,0.1,0.62,0,0.1,0.1,0.42,0,0.31,0.21
22Month,0,0.14,0.27,0.82,0,0,0,0.82,0,3.69,0.14,0,1.91,0.55,0.14,0.68,0,0.14,0.55,0,0.27,0,0,0,0.27,0.14,0,0.14
