stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0
72hpf,0,0,0.28,0.28,0,0,0,0,0,0,0,0.28,0.28,1.13,0,0,0,0,3.38,1.41,0,1.13,0,0,0,0,0,0
21Day,0,0.37,2.22,0,0,0.37,0,0,0,0,0,0,1.48,1.48,0,0,0,0,0.37,0,0,0.74,0,0.37,0,0,0,0
3Month,0.1,0.31,0.73,0,0.73,0.94,0,6.66,0,0.62,0,1.14,2.08,0.73,0.31,0.1,0.62,0.52,0.21,0.1,0.21,0,0.94,0.21,0.21,0.42,1.35,0.1
22Month,0,0,0.96,0,0.41,1.64,0.14,13.12,0.41,0,0.14,0.14,1.91,0.96,0,0.27,0.27,0,0,0,0.41,0.14,0,0.14,0,0,0,0.14
