stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,T_cell
72hpf,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0.85,0,0,0,0,0,0,0.56
21Day,0.37,0,0.37,1.11,0.37,0,0,0,0,0.37,4.07,0,0.37,0.37,0,3.7,0,0,0.37,0,2.96,1.48,0,0.37,0.74,0.37,0,0,15.91
3Month,0,0.1,0.1,2.6,0,0.42,0.83,0,1.77,0.94,0.1,1.25,0.1,0.31,1.56,1.04,0.1,0,0.1,0.1,0.1,0,0.1,0,0.1,0.42,1.04,0.1,23.09
22Month,0,0,0.14,0.55,0,0,1.91,0.14,8.06,0,0.14,0.55,0.14,0,1.64,0.27,0,0.14,0,0,0,0,0,0.14,0,0,0.55,0,15.99
