stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0
72hpf,0.28,0,0,0.28,0,0,0,0,0,0,0,0,14.09,0,0,0,0,0.28,1.41,0.28,0,0.56,0,0.56,0,0,0
21Day,0,0,0,0,0,0,0,0,0.74,0,0,0,0.37,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0,0.21,0.31,0.42,0,0.1,0.1,0.1,12.48,0.21,0.52,0.1,0.94,0.21,0.31,0.1,0,0.1,0,0,0.1,0,0.1,0,0.1,0.1,0.1
22Month,0,0.55,0,0.27,0.14,0.14,0.55,0,19.27,0,0.27,0.27,0.27,0.14,0.14,0,0.68,0,0,0,0,0.27,0,0.14,0,0,0.14
