stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.84,1.69,0,0,0.85,0,0,0.28,0.28,0,0
21Day,0.37,0,1.11,0,0,0.37,0,0,0,0,0,0,0,0,2.22,0,0,0.37,0,7.03,1.48,0,0,0.37,1.11,0,0.37,0,0,0
3Month,0.31,0.31,3.02,0.1,0.21,0,0.21,0,1.35,0.21,0.31,0.42,0.62,0.31,1.14,0.1,0,0.31,0,0.21,0,0.1,0.1,0,0.52,0.52,0.31,0,0.52,0.1
22Month,0.27,0.27,1.91,0.14,0,0,0.68,0.55,6.97,0.41,0.27,1.23,0.27,0.55,0.96,0,0.41,0.27,0.14,0,0,0,0,0,0,0,1.23,0,0,0.27
