stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,53,0,4,0,0,0,0,0,1,0,0,0,1,6,0,0,2,302,0,1,0,0,1,0,0,0
72hpf,52.71,0,0,0,0,0,0,0,0,0,0,3.66,0,0.56,0.28,0,6.48,16.07,0.28,0.28,0,0,19.73,0,0.85,0
21Day,37.74,0,1.48,0.37,1.11,1.11,0,0,0,0,0,0.74,0.37,1.85,0,0,2.59,7.4,0,0.37,1.11,0,4.81,0.74,0,0
3Month,0.42,0,0.73,0,0,0,0.1,0.1,0.1,0,0,0.21,0.1,0.1,0,0.52,0.1,0.1,0,0,0,1.98,0.21,0,0.1,1.35
22Month,0.27,0.14,0.82,0,0,0,0,0,1.64,0.14,0.41,0.14,0,0.55,0.14,0,0,0,0,0,0,0.82,0.14,0,0,0
