stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_cone_cell
24hpf,1,3,0,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0
72hpf,1.13,0.56,0.28,0.28,0,0,0,0,0,1.69,0.28,17.47,4.23,0.56,1.13,0,1.41,0.28,0.28
21Day,1.85,0,0,0,0.37,0,0,0,0,1.85,0.37,4.81,1.48,0,0.37,0.37,0,0,0
22Month,0,0,0.14,0,0,0.14,0.82,0.14,0.14,0,0,0,0,0,0,0,0,0,0
