stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,3,0,14,0,1,0,0,0,0,0,0
72hpf,1.41,0.56,1.13,0.28,0.28,0,0.28,0.56,1.13,0.28,1.97,32.98,12.97,0,4.23,0,1.41,0.28,0,0.28,0
21Day,1.11,0,4.07,0,2.22,0.74,1.85,0.37,0.74,0.37,6.29,9.99,4.44,0.37,3.7,0.37,0,0.37,1.11,0,0.74
