stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,3,192,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.97,0.28,1.13,0.85,4.51,0,0,0,0,0,0,0,0,0,0.85,5.07,1.41,7.33,0,0,0.28,0.28,33.82,83.15,0,3.38,10.15,0,0,209.69,0.28,0.28,0,0,0,0
21Day,2.96,0,4.07,0.37,1.85,0,1.11,0,0,0,0.37,0,1.48,0.37,0.37,2.22,0.37,13.32,0,0,3.33,0,7.77,17.39,0,1.48,5.92,0.74,0,72.52,0.37,1.11,0.74,0,0,0.37
3Month,0,0.42,3.33,0.31,0,0,0,0.52,0.21,0.1,9.26,0.52,0.21,0.42,0.52,0.21,0.52,3.74,0.1,0,0.1,0,0.62,0.21,0,0.62,0.1,0.21,0.31,2.5,0,0,0.31,0.21,0.1,0.73
22Month,0,0.55,4.78,0.96,0,0.27,0,0.55,1.64,0.55,10.8,0.41,0.14,2.05,0.14,0.82,1.23,16.26,0.14,0.27,0.14,0.27,0.96,3.01,0.55,1.78,0,0,0.68,4.37,0,0,0.82,0.14,0,0.41
