stage,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neurosecretory_cell,Pancreatic_cell,T_cell
21Day,0,0,0,0,0,0,0,1.11,0,0,0,0,0,0,0,0,0
3Month,0,0,0,0,2.39,0,0,0,0,0.21,0.1,0,0.1,0.1,0,0.1,0.1
22Month,0.14,0.55,0.14,0.41,23.78,0.14,0.27,0.14,0.27,0,0,0.82,0.14,0,0.14,0,0
