stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neurosecretory_cell,Osteoblast,Smooth_muscle_cell,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0.56,0.28,0,0,0,1.69,0,0,0,0
21Day,0.37,0,1.11,0,0,0,0,0,0.37,0,4.81,1.85,0,0,0,1.11,0,0,0.37,0
3Month,0,0,0.52,0,0,0,0,0.1,0,0.1,0.52,0.42,0.1,0,0,0,0,0.1,0,0.1
22Month,0.14,0.14,1.78,0.96,0.14,0.14,1.09,0.14,0,1.09,3.69,0.27,0.14,0.27,0.27,0,0.14,0,0.14,0
