stage,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell
72hpf,0,0,0,0,0,0,0,0,3.1,0.56,0,0,0,0,0
21Day,0,0.74,0,0,0,0.37,0.37,0.37,3.7,0,0,0,0,1.11,0.74
3Month,0,0,0,0,0,0.42,0.1,0.1,0.1,0,0,0.1,0,0,0
22Month,0.41,0,0.14,0.14,0.14,1.64,0,0.27,1.09,0,0.14,0,2.05,0,0
