stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0,0.28,0.28,0.56,0,0,2.25,0,0,0,0
21Day,0,0.37,0,0,0,0,0,0,0,0,0,0,0.74,0.37,4.07,0,2.22,0.37,0,0,0,3.33,0,0.37,0,0
3Month,0,4.37,0.1,0.1,0.1,0.1,0,1.46,0.21,0,0.21,0,13.94,0.21,5.82,1.04,1.87,0,0,0.1,0,0.1,0.21,0,0.21,0.31
22Month,0,1.91,0,0.14,0,0.27,0.14,2.87,0,0.14,0.27,0.14,9.16,0.55,8.61,0,1.64,0,0,0.14,0.14,0,0,0,0,0.41
