stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,3,0,0,0,0,5,0,0,2,0,0,0,0,0
72hpf,0,0,1.69,0,0,0,0,3.95,0.28,0.28,0.28,0,0,0,0,0
21Day,0.37,0,5.92,0,0,0,0.37,3.33,0.37,0,0,0.37,0,0,0,0
3Month,0,0.1,0,0.1,0.1,0.42,0,0,0.1,0,0,0,0.52,0.1,1.35,0.1
