stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,52,1,0,0,1,0,0,0,0,0,0,0,0
72hpf,1.69,0.56,0.85,0,0.56,0,0,0,0,0,0,0,0,1.41,1.41,0,4.23,0,0.56,0,0,28.75,15.78,0,0,0,3.38,0,0,1.13,0.28,0.56,0,0,0
21Day,2.59,0.37,7.4,0,0.37,1.48,0,0,0,0,0,0.37,0,0.37,1.11,1.11,6.66,0,0,0,0,13.69,8.88,0,0,0,1.48,0.74,0,0.37,0,0.74,0,0,0.37
3Month,0,0.1,2.08,0.31,0,0.1,0.1,0.31,0,2.29,0.21,0,0.31,0.1,0.83,0.42,0.94,0.21,0,0.21,0.1,0.21,0,0.21,0.1,0,0,0,2.08,0.1,0,0,0.31,0.94,0
22Month,0.14,0.41,1.5,0,0,0,0.27,0.68,0.41,9.29,0.14,0.27,0.41,0,0,0.55,1.37,0.14,0.41,0,0,0,0,0,0,0.14,0,0,0.27,0.41,0,0,0.14,0,0.14
