stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0.85,0,0,0,0,0,0,1.41,5.92,0,0.28,0,0,0,0,0.85,0,0,0.28,0,0,0,0,0,0,0
21Day,0,0,1.48,0,0.37,0,0,0,0,0,0,2.59,4.07,0,0,0,0,0,0,0,0.74,0,0,0,0,0,0,0,0,0
3Month,0.31,0,11.34,0.1,0,0,0,0,1.25,0.31,1.04,7.7,1.14,0.52,0.52,0.1,0,7.39,0.21,0.94,0,0.21,0,0.42,0.83,0,0,0.42,0.52,0.1
22Month,0.55,0.27,8.88,0,0,0.27,0.68,0.41,13.53,0,0.55,3.01,1.5,1.09,1.09,0,0.27,0.55,0,0.68,0,0.55,0.14,0,0.14,0.68,0.14,0,0,0
