stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Oocyte,Primordial_germ_cell,Smooth_muscle_cell,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,1.13,0,0,0,0,0,0,0,0,0
21Day,0,0,0.37,0,0,0,0.37,0,0.74,0,0,0,7.4,0,0,0,0,0,0,0.74
3Month,0,0.31,0.1,0.31,0,0,1.77,0.21,0,1.66,0.1,0.21,1.66,0,0,0.52,0,0.1,0,0.94
22Month,0.14,0.27,0.14,0.55,0.14,0.14,15.58,0,0,2.46,0,0,0.55,0.14,0.27,0.14,0.14,0.14,0.14,0.27
