stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,62,9,0,93,2,0,1,0,0,0,1,1,0,0,0,4,3,3,95,0,0,0,0,20,288,0,0,1,0,0,0,0,0,2,0,0,0
72hpf,13.25,1.69,0,5.92,3.38,0,0,0.28,0,0,0,0,0,0,0,3.66,3.66,0,33.26,0,0,0.56,0,106.26,27.62,0.28,0,61.72,0,0,7.05,0.56,0,0.28,0,0,0
21Day,13.32,0,0.74,4.07,2.22,0,0.37,0,0,0,0,1.11,0,0.37,0.74,0,0.74,0.37,33.67,0,0,2.22,0,6.29,3.7,0,0.74,91.02,2.22,0,1.11,0,1.85,0,0,0,1.11
3Month,0.42,0.21,0.31,6.87,0,0.1,0,1.04,2.29,0.1,0,1.35,0.83,0.1,2.6,0.1,4.68,1.98,25.69,0.73,0,1.35,0.1,0.21,0.1,0.42,0.21,0.31,0.1,1.04,0,0.1,0,0,0.31,3.12,0.83
22Month,0,0.14,0.68,1.91,0,0.27,0,0.41,1.09,0,0,3.55,0.27,0,2.32,0,1.37,1.37,26.78,0,0.14,0.55,0,0,0,0,0,0,0.27,2.73,0,0.14,0,0,0,0,0.27
