stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,1,14,0,9,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,0,2.25,0.56,0.28,0,0,0,0,0,0,0,0,0,3.1,9.58,0.56,1.13,0,0,0,0.28,2.25,1.41,0,0,0,0.56,0,0,0.28,0,0,0,0
21Day,0.37,0,0,4.44,0.37,0.74,0,0,0,0,0,0.37,0,0.37,0.74,0,1.11,0.37,0.74,0,0,0,0,1.48,0.74,0,0,0.37,0.37,1.11,0,0,0.37,0,0,0
3Month,0,0.21,0.83,4.68,0,0,0.21,0,0.21,0.42,0.1,16.23,0.42,0.1,5.41,0.73,0.94,0.83,0.62,0.1,0,0.1,0.73,0.31,0,0.1,0,0,0.52,33.18,0.21,0,0,0.21,5.3,0.21
22Month,0.14,0.14,0.14,1.09,0,0,0,0.14,0,0.27,0.27,17.76,0,0,3.96,0,0.41,0.41,0.68,0.14,1.23,0.27,0.27,0.27,0,0.14,0.27,0,0,12.98,0,0.27,0,0,0,0
