stage,Cardiomyocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,2,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.36,0,0.28,0,0,0,0.28,2.54
21Day,0.37,0,0,0,0,0,0,0,0,0,0.37,0,1.11,0,0,0,0.37,0,0,0.37,0,0,1.11,1.11
3Month,0,0.31,0,0,0.21,0.52,0.1,0.1,0.52,0,0,0.31,1.04,0.42,0,0.1,0,0,0,0.1,0,0.1,0,0.21
22Month,0,0.14,0.27,0.14,0,2.87,0,0,0.41,0.14,0,0,0.55,0,0.27,0,0,0,0,0,0.14,0,0,0
