stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,1,0,2,0,0,0,0,0,2,1,1,0,0,0,11,1,0,0,0,0,0,0,0,0
72hpf,0,0,0.56,0.85,0,0,0,0,0.28,0,0,0.56,0,2.25,2.25,0,0.56,0,0,0.56,1.41,0.28,0,0
21Day,0,0,0.74,0,0,0,0,0,0,0.37,0,0,0,1.85,0.74,0,0,0.37,0,0,2.59,0,0,0
3Month,0,0.1,0.31,0,0.21,0.62,0,0.1,0,0.21,0,0.1,6.97,0.21,0,0,0,0,0.21,0,0.52,0,0.21,0.1
22Month,0,0,0.68,0,0.14,1.23,0.14,0,0,0,0.41,0.27,1.78,0,0,0,0,0,0,0,0.27,0,0,0.27
