stage,Endothelial_cell,Epithelial_cell,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia
24hpf,0,0,0,0,0,1,1,8,0,0,0,0
72hpf,0,0.28,0,0,0,0,4.51,1.41,0,0,0,0.56
21Day,0,0,0,0.37,0,0.37,2.22,0.37,0.37,0.37,0,0
3Month,0,0,0,0,0.1,0,0,0,0,0,0.21,0
22Month,0.27,0.14,0.96,0,0,0,0,0,0,0,0,0
