stage,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_progenitor_cell,Oocyte,Primordial_germ_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
21Day,0.74,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0
3Month,0.62,0.1,0.1,0.1,0,0.1,0.1,0,0.31,0.21,0,0,0,0,0,0.62
22Month,0.14,0,0.14,0.55,0.14,1.09,0,0.14,0.27,0,0.14,0.14,0,0.14,0.14,0
