stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
72hpf,0.28,0.28,0.28,0,0,0,0,0,0,0,0.28,0,0.56,0,0,0,24.8,2.25,0,1.13,0,0,0.28,0,0,0
21Day,1.11,0,1.48,2.22,0,0,0.37,0.74,0.37,0.37,1.11,1.11,1.85,0,0,0,36.63,1.11,0,1.11,0.37,0,0.37,0,0,0
3Month,0,0,0.31,0,0.21,1.04,0.1,0,0.1,0,0,0.21,0.1,0.1,0,0.21,1.04,0,0.1,0,0,0.42,0,0.1,0.42,0.1
22Month,0,0.14,0.55,0,0.27,0.82,0,0.14,0.82,0,0,0.41,0,0,0.27,0,0.14,0,0.14,0,0,0,0,0,0,0.14
