stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,19,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,3.38,0.56,0,0,0,0,0,0.28,0,0,0,0.56,11.27,5.36,0.28,0,0.28,0,0,3.95,1.13,0.28,0,0,1.13,0,0,0.28,0,2.25,0,0,0
21Day,0,0,0.37,7.03,1.11,0,0,1.11,0,0,1.11,0,1.85,0,0.37,2.59,14.06,0.37,0,0,0,0,2.22,0.37,0,0,0,1.11,0,0,0.37,0.37,0.74,0,0,0.37
3Month,0,0.21,0,6.97,0,0.1,0.42,3.64,0,0,8.32,1.14,0.1,3.12,0.73,3.74,15.08,0.62,0.1,0,0.21,0.83,0.21,0,0.52,0.1,0,0,0.1,1.77,0.1,0,0,0.31,1.25,0.73
22Month,0.14,0.41,0,2.32,0,0.14,0,10.66,0.14,0,19.95,0.68,0.27,2.46,0.14,0.68,12.16,0.41,0,1.09,0,0,0,0.14,0.27,0.14,0.14,0,0,1.23,0.27,0,0,0,0,0.41
