stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,1,1,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0.56,0.28,0,0,0,0,0,0,0,0,0,8.17,0,0,1.41,3.95,6.48,0,0,8.74,0,0,1.69,0.56,0,0,0
21Day,0.37,0,0,0,0,0,0,0,0,1.48,0,0,0.37,0.37,9.25,0,0,1.11,0.74,1.11,0.37,0.37,5.18,0.37,0.37,1.85,0,0,0,1.11
3Month,0,0,1.77,0,0,0.1,1.46,2.29,0.42,0.21,0.94,0.21,1.04,1.25,2.81,0.52,0,0.21,0,0,0,0,0.31,0.31,1.25,0.1,0,0.21,0.73,0.94
22Month,0,0.41,0.27,0,0,0.14,2.73,9.7,0.27,0.82,0.82,0,0.27,1.78,1.91,0,0.27,0.14,0.14,0.14,0,0.14,0,0.14,0.14,0.41,0,0,0,0.41
