stage,Epithelial_cell,Erythroid_progenitor_cell,Hepatocyte,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Pancreatic_cell,Spermatocyte
72hpf,0,0,0,0,0.28,0.28,0,0,0
21Day,1.48,0,0,0.74,1.48,0,0.37,0,0
3Month,3.54,0.1,0.21,0.21,0.31,0.1,0.1,0.1,0.1
