stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,105,2,1,0,0,0,1,0,0,0,0,0,0,1,5,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0
72hpf,99.21,0.28,0.28,0.28,0.85,0,0,0,0,0,0,0.28,1.13,0,2.82,0,0,0,4.51,3.38,0,1.69,0,0,0.28,0,0.28,0,0,0,0
21Day,115.44,1.11,3.33,0,0.74,0,0,1.11,0.37,0.37,0,0,1.85,0.74,4.81,0,1.11,0,5.55,1.85,0.37,1.85,0.37,0.37,0.37,0.37,1.11,0.37,0.37,0,0
3Month,3.95,0.1,1.04,0.1,0,1.35,0,0,0.1,0,0.1,0,0.94,0.1,0.42,0.21,0,0.21,0,0.1,0,0,0,2.39,0,0,0,0,0,0.52,0.1
22Month,0.41,0.14,0,0,0,0.41,0,0.14,0,0,0,0.27,0,0,0.41,0,0,0.14,0,0,0,0,0,0.27,0,0,0,0,0,0,0
