stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0.85,0,0.28,0,0,12.68,0.85,0,0.28,0,0,0.28,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,5.18,0.37,0,0,0.37,0,0,0,0,0
3Month,0.1,0.1,0.21,0.31,0.94,0.1,0.21,0,0.1,0,0,0,0.1,2.29,0,0.1,0.1,0.1,0.21,0,0.1,3.85,0.1
22Month,0,0,0,0,5.6,0,0.96,0.14,0,0.14,0.14,0.14,0,0.41,0,0.14,0,0,0,0,0,0,0
