stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.69,0.28,0,3.95,0.28,0,0,0,0,0,0,0,0,0.28,3.38,1.13,1.97,0,0,0,0,5.07,3.1,0,0,0,0.85,0.28,0,0,1.13,0.85,0.28,0,0,0
21Day,2.59,0,0,16.28,0,0,0,0,0,0,0,0.74,0.37,0.74,3.7,0.37,8.51,0,0,0.74,0,2.22,2.22,0,0,0,6.66,1.48,0,0,0,0,0,0,0,0.37
3Month,0.21,1.14,0.73,30.48,0,0.1,7.8,2.18,0,14.77,2.39,0.42,9.36,1.46,9.99,4.58,4.26,1.35,0.1,2.7,0.52,0.73,0.21,1.14,0.21,0,0.73,0.52,0.1,4.99,0,0,0.1,1.04,0.62,0.62
22Month,0,0.82,0.96,11.75,0,0,3.69,2.46,1.91,52.47,1.09,0.41,8.75,0.14,1.64,3.42,1.23,0,0.55,1.78,0.27,0.14,0.14,1.09,0,0.27,0.14,0.27,0,2.73,0.14,0.27,0,0.41,0,0.55
