stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,4.79,0,0,0,0,0,1.41,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0.74,0,0,1.11,0.37,0,0.37,0,0.74,0,0,1.85,7.03,0,0,1.11,10.73,0.74,0.37,0,0,0,1.85,0.37,0,0,1.11,0,0,0,0,0,1.11,0,0,0,9.62
3Month,0.1,0.62,0.1,3.33,0,0.21,0.1,0.73,9.67,0,4.16,115.46,4.78,1.77,0.52,1.35,36.41,1.66,0.1,0,0.62,0.62,0.62,0,0.31,0.31,0.21,1.35,0.31,9.47,0.1,0.1,0,0.1,0.52,3.43,84.67
22Month,0.14,0.55,0.14,0.55,0,0.14,0,0.55,14.89,0.14,4.1,29.93,2.6,0.68,0,0.55,40.17,0.27,0,0.14,0.27,0,0.14,0,0,0.14,0,0.27,0,3.83,0.27,0.14,0,0,0,0,21.45
