stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.97,0,0,0,0,0,0,1.13,0.28,0,0,0
21Day,0,0,0,0.37,0,0,0,0,0,0.37,0,0,0,1.11,0,0,0,2.22,0,0,0,0.74,0,0.37,3.33,11.84,0,0,0
3Month,0,0.21,1.46,0,0.1,0.42,0,1.66,0.31,0,0.31,0.1,0,0.1,0.1,0,0.1,0.1,0.1,0.1,0,0,0.21,2.5,0,0,0.1,1.87,0.1
22Month,0.27,0,0.14,0,0.14,0.55,0.27,5.74,0,0,0.55,0,0.41,0.27,0,0.14,0,0.27,0,0,0.14,0,0.14,0.82,0.14,0,0,0,0.14
