stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13,0,0,0,0,0,0.28,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.48,0,0,0.37,0,0,0,0,0
3Month,0,0.1,0.1,2.5,0.1,0.42,0.1,0,0.94,0,0.1,0.52,0.1,0.21,0.1,0.52,0.1,0.1,0,0,0.1,0.1,0,0.21,0.52,0,0.21,0.31
22Month,0.14,0.14,0.27,10.11,0.27,0.14,1.23,0.55,10.25,0.41,0,0.82,0,2.87,0.82,1.64,0,0.27,0.14,0.14,0.27,0.27,0.14,0,1.37,0,0.14,0.55
