stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,8,0,0,0,0,0,12,0,0
72hpf,0,0.28,0.85,0.56,1.69,0,0,0,0,0,1.69,0.28,2.82,0.28,44.81,2.82,1.41,0.56,0,0.28,0,28.18,0,0
21Day,0.37,0,0.37,0,0,0,0,0,0,0,0.74,0,0.74,0,5.55,0.37,0.74,0,0,0,0.37,7.03,0,0
3Month,0,0.1,0.31,0,0,0.21,0.31,0.1,0,0.31,1.77,0.21,0.1,0,0,0,0,0,0.21,0,0,0.21,0.1,0.42
22Month,0,0,0,0,0,0.27,1.09,0,0.14,0,0,0.14,0.14,0,0,0,0,0,0.27,0,0,0,0,0
