stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
72hpf,0.28,0.28,0,0,0,0,0,0,0,0,0,0.85,0,0.56,0.28,0,2.54,1.97,0.28,0,0,0,0.56,0.28,0,0,0
21Day,0,0,1.11,0.37,0.37,0,0,0,0,0,0,0.74,0,0.37,0,0,1.48,0,0.37,0.37,0.37,0,0,0,0,0,0
3Month,0,0,0.94,0,0,0.1,0.21,1.35,0.1,0,0.83,0.1,0.1,0.1,0,1.04,0,0,0,0.1,0.21,0.42,0,0,0.1,0.21,0.1
22Month,0,0.27,0.41,0,0,0,0.82,1.5,0.14,0.14,0.41,0,0.41,0.41,0,0,0,0,0,0,0,0.14,0,0,0,0,0
