stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,6,1,0,0,0,0,0,0,20,0,0,0,0,2,1,0,0,0,0,0,0,2,10,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.69,0,0,5.64,38.9,2.25,0,0,0,0,0,0,0,0,0,0,1.41,8.17,0,1.97,0,0,0,0,22.83,5.07,0.85,0,1.41,0,0,0,1.41,0,0,0,0
21Day,1.11,0.37,0.37,14.43,41.07,3.33,0,0.74,0,0.37,0,0,0.74,0,0.37,0.37,2.96,12.21,1.48,4.07,0,2.22,1.48,0.37,11.1,2.96,0,0,2.59,3.33,0,1.11,0.37,0.74,0,0,1.11
3Month,0,1.66,1.35,21.01,13.11,0,0.42,0.1,1.25,3.12,0,0,11.86,3.85,0.21,6.45,2.6,8.53,2.5,4.16,1.14,0.1,0.73,1.14,4.06,0.21,0.73,0.42,0.1,1.77,0.1,15.19,0.52,0,1.87,1.46,3.64
22Month,0.14,0.55,0.41,3.01,5.88,0,0,0,0.55,0.55,1.5,0,4.65,0.41,0,1.23,1.5,2.19,0.96,1.91,0,0.41,0.14,0,1.5,0,0.82,0.14,0.27,0.14,0,0.96,0.14,0,0.14,0,0.14
