stage,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Neural_cell,Neurosecretory_cell
24hpf,0,0,0,0,1,1,0
3Month,0.1,0.1,0,0,0,0,0
22Month,0,0.68,0.14,0.14,0,0,0.14
