stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0.28,0,0,0,0,0,0
21Day,0,0,1.11,0.74,0,0,0,0,0,0,0,0,0,1.85,0.74,0,0,0,0,0,0.37,0,0,0,0,0,0
3Month,0.31,0.1,11.55,0,0,0.1,0,0.42,0,2.08,0.42,0.52,0.21,2.7,0.21,0.52,0.1,0,0.1,0.1,0,0,0,0.1,0.42,0.21,0.42
22Month,0.27,0,0.96,0,0.14,0,0.27,0.68,0.14,9.43,0.82,1.09,0.14,0.82,0.27,0,0,0.41,0,0,0,0.14,0.14,0.14,0.41,0,0.27
