stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,13,1,0,0,0,0,0,0,0,1,0,0,0
72hpf,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0.28,0,2.54,0,1.41,0,16.07,6.2,0,0.85,3.38,0,0,0.56,0,0,0,0,0,0
21Day,0.37,0,0.37,1.85,0,0.74,0,0.74,0,0,0,0,0.74,0,0.37,0.74,0.37,0,0,3.7,0,17.39,0,27.38,1.11,0,1.48,1.48,0.37,0.37,3.33,0.74,1.85,0,0,0,0
3Month,5.41,0.52,0.31,4.47,0.21,0,0,0.31,0,0,0.21,0,3.85,0.94,0.21,0.73,0.1,1.35,0.94,14.35,0.52,0.62,0.21,5.82,0.1,1.77,0.21,0,0.42,11.34,21.53,0.31,0,0.1,0.1,9.05,0.52
22Month,2.05,0.68,0.27,1.23,0,0,0.14,0.14,0.14,0.14,1.64,0.27,8.2,1.78,0.82,2.05,0,0.27,1.64,4.1,0.14,2.46,0,4.24,0.14,0.27,0.27,0.14,0.14,5.19,56.85,3.69,0,0.14,0,0,0.41
