stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,24,14,47,2,4,0,0,0,7,0,0,0,1,12,94,21,81,3,0,0,26,573,1,0,11,0,0,0,0,0,4,0
72hpf,18.6,17.19,52.42,4.79,15.22,0.28,0.85,0.28,0,0,0,0.56,0,7.61,117.25,3.38,74.41,0.56,1.41,1.13,183.48,69.33,1.69,0.85,51.01,0,1.69,10.99,0.28,0.85,7.05,0
21Day,0,0.37,3.33,0,0,0,0,0,0,0,0,0,0,0,1.11,0,6.66,0,1.48,0,1.85,0.74,0,0,2.59,0.37,1.85,0.37,0,0.37,0,0
3Month,0,0,0.21,0,0,0,0.31,0,0,0.31,0.21,0,0.21,0,0.1,0.1,0.21,0,0,0,0,0,0.1,0.1,0,0.1,4.16,0,0,0,0,0.94
22Month,0,0,0.14,0,0,0,0,1.37,0,2.05,0,0,0.27,0,0.14,0,0.41,0.68,0,0,0,0,0,0,0,0,1.5,0.14,0.14,0,0,0
