stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Hatching_gland,Hepatocyte,Immune_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,1,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0.56,0,0.56,0,1.13,0.28,0,0.56,0,0.28,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0.74,0,0,0,0,0
3Month,0,0.73,0.1,0,0.94,0.31,0.1,0.1,0.1,0.42,0.1,0,0,0.1,0,5.93,0,0.21,3.74,0.1
22Month,0,0,0,0,0.82,0,0,0,0,0,0,0,0.14,0.14,0,0.27,0,0,0,0
