stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0
72hpf,0,0,0,0,0.28,0,0,0,0,0,0,0.28,0.28,0.85,0,0,0,0,0.28,0,0,0.28,0,0,0,0
21Day,0,0.37,0,0,0,0,0,0,0.37,0,0,0,3.33,0.74,0,0,0.37,0,0.74,0,0,0,0.37,0,0,0
3Month,0,2.39,0,0.1,8.74,0,1.04,0.42,0.21,0.42,0.21,1.35,11.96,3.95,0.62,0.1,0,0.1,0,0,0.1,0.21,0,0.1,0.42,0.42
22Month,0.27,0.96,0.14,0,15.3,0.14,3.28,0.14,0.41,0.27,0.27,0,11.62,3.83,0,0,0,0,0,0,0,0.14,0,0.14,0,0
